municipality;beehive_number;honey_income;income_per_hive
patarasi;1;12;12
patarasi;7;123;17.57142857
patarasi;2;25;12.5
patarasi;1;12;12
patarasi;NA;NA;NA
patarasi;NA;NA;NA
patarasi;NA;NA;NA
patarasi;NA;NA;NA
patarasi;1;10;10
patarasi;NA;NA;NA
patarasi;NA;NA;NA
patarasi;NA;NA;NA
sinja;NA;NA;NA
sinja;NA;NA;NA
sinja;NA;NA;NA
sinja;NA;NA;NA
sinja;NA;NA;NA
sinja;NA;NA;NA
sinja;NA;NA;NA
sinja;NA;NA;NA
sinja;NA;NA;NA
sinja;NA;NA;NA
sinja;NA;NA;NA
sinja;NA;NA;NA
sinja;NA;NA;NA
sinja;NA;NA;NA
sinja;NA;NA;NA
sinja;NA;NA;NA
tila;NA;NA;NA
tila;NA;NA;NA
tila;NA;NA;NA
tila;NA;NA;NA
tila;NA;NA;NA
tila;NA;NA;NA
tila;NA;NA;NA
tila;NA;NA;NA
tila;NA;NA;NA
tila;NA;NA;NA
tila;NA;NA;NA
tila;NA;NA;NA
tila;NA;NA;NA
tila;NA;NA;NA
tila;NA;NA;NA
tila;NA;NA;NA
kanaka_sundari;NA;NA;NA
kanaka_sundari;NA;NA;NA
patarasi;1;10;10
patarasi;1;12;12
patarasi;NA;NA;NA
patarasi;NA;NA;NA
patarasi;NA;NA;NA
patarasi;NA;NA;NA
patarasi;NA;NA;NA
patarasi;NA;NA;NA
tatopani;NA;NA;NA
tatopani;NA;NA;NA
tatopani;NA;NA;NA
tatopani;NA;NA;NA
tatopani;NA;NA;NA
tatopani;NA;NA;NA
tatopani;NA;NA;NA
tatopani;NA;NA;NA
tatopani;NA;NA;NA
tatopani;NA;NA;NA
tatopani;NA;NA;NA
tatopani;NA;NA;NA
tatopani;NA;NA;NA
tatopani;NA;NA;NA
tatopani;NA;NA;NA
tatopani;NA;NA;NA
kanaka_sundari;NA;NA;NA
kanaka_sundari;NA;NA;NA
kanaka_sundari;NA;NA;NA
kanaka_sundari;NA;NA;NA
kanaka_sundari;2;0;0
kanaka_sundari;1;0;0
kanaka_sundari;1;0;0
kanaka_sundari;2;0;0
kanaka_sundari;NA;NA;NA
kanaka_sundari;NA;NA;NA
hima;3;0;0
hima;1;0;0
hima;NA;NA;NA
hima;NA;NA;NA
hima;NA;NA;NA
hima;NA;NA;NA
hima;NA;NA;NA
hima;NA;NA;NA
hima;NA;NA;NA
hima;NA;NA;NA
hima;NA;NA;NA
hima;NA;NA;NA
hima;NA;NA;NA
hima;NA;NA;NA
hima;NA;NA;NA
hima;NA;NA;NA
patarasi;2;3200;1600
patarasi;NA;NA;NA
patarasi;NA;NA;NA
