number;study_village;beekeeping_years;beehive_change;2022;2021;2019;2017;2012;2009;pop_change
1;CHAU;10;decrease;2;2;1;1;2;NA;decrease
2;CHAU;12;decrease;1;2;5;8;11;13;decrease
3;CHAU;30;decrease;1;2;5;6;NA;NA;decrease
4;CHAU;30;decrease;1;1;1;7;25;18;decrease
5;CHAU;4;decrease;1;2;1;NA;NA;NA;decrease
6;CHAU;22;decrease;3;2;2;1;1;3;decrease
7;CHAU;20;decrease;2;2;6;6;NA;NA;decrease
8;CHAU;9;decrease;11;18;25;32;25;NA;decrease
9;CHAU;3;increase;2;1;1;NA;NA;NA;no_change
10;CHAU;20;increase;20;7;5;4;7;6;increase
11;CHUM;4;decrease;2;3;2;NA;NA;NA;no_change
12;CHUM;25;increase;4;9;7;6;12;4;decrease
13;CHUM;16;decrease;3;4;6;7;NA;NA;decrease
14;CHUM;3;no_change;1;NA;NA;NA;NA;NA;no_change
15;CHUM;12;increase;4;2;1;1;2;1;increase
16;CHUM;14;decrease;1;0;7;14;10;NA;decrease
17;CHUM;8;no_change;1;NA;NA;NA;NA;NA;no_change
18;CHUM;20;decrease;7;4;3;10;3;12;decrease
19;CHUM;18;decrease;5;2;2;1;1;6;decrease
20;CHUM;5;decrease;1;2;1;2;NA;NA;decrease
21;GADI;4;decrease;7;5;2;NA;NA;NA;decrease
22;GADI;7;decrease;4;13;19;18;NA;NA;decrease
23;GADI;6;decrease;15;17;12;4;NA;NA;decrease
24;GADI;3;increase;7;7;3;NA;NA;NA;decrease
25;GADI;25;decrease;4;6;5;10;16;18;decrease
26;GADI;6;decrease;3;4;1;1;NA;NA;increase
27;GADI;30;increase;15;16;12;9;5;3;decrease
28;GADI;30;increase;35;12;9;10;5;7;increase
29;GADI;15;decrease;2;12;16;25;NA;NA;decrease
30;GADI;20;decrease;4;2;10;1;3;2;decrease
31;GADI;3;increase;5;7;1;NA;NA;NA;increase
32;GADI;16;decrease;5;6;3;10;16;12;decrease
33;GADI;7;increase;8;5;3;4;NA;NA;decrease
34;GADI;50;decrease;6;4;10;1;15;25;decrease
35;GADI;25;decrease;1;1;0;4;9;5;decrease
36;LORP;22;decrease;2;4;10;NA;NA;NA;decrease
37;LORP;15;decrease;1;1;7;NA;NA;30;decrease
38;LORP;6;decrease;4;5;NA;1;NA;NA;decrease
39;LORP;4;increase;6;3;1;NA;NA;NA;increase
40;LORP;50;decrease;6;7;9;NA;18;NA;decrease
41;LORP;3;decrease;1;1;1;NA;NA;NA;decrease
42;LORP;18;decrease;1;1;2;4;8;18;decrease
43;LORP;16;decrease;1;2;4;7;NA;NA;decrease
44;LORP;20;decrease;2;2;7;1;8;1;decrease
45;LORP;14;decrease;2;2;9;15;4;1;decrease
46;LORP;9;decrease;1;2;3;4;10;NA;no_change
47;LUMA;4;decrease;2;5;2;NA;NA;NA;decrease
48;LUMA;30;decrease;5;25;15;10;7;1;decrease
49;LUMA;5;decrease;2;8;9;1;NA;NA;decrease
50;LUMA;2;decrease;1;3;NA;NA;NA;NA;decrease
