number;study_village;have_apple_trees;apple_yield_change;apple_yield_years;apple_qual_change;apples_smaller;apples_bigger;apples_less_round;apples_more_round;apple_deformed;apple_taste_worse;apple_taste_better;apple_color_changed;apple_rot_more_quickly;apple_qual_other;apple_qual_dont_know
1;CHAU;yes;decrease;2;decrease;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
2;CHAU;yes;decrease;3;no_change;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;CHAU;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;CHAU;yes;decrease;5;decrease;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
5;CHAU;yes;decrease;5;decrease;1;NA;1;NA;NA;NA;NA;NA;1;NA;NA
6;CHAU;yes;decrease;6;decrease;1;NA;NA;NA;1;NA;NA;NA;NA;NA;NA
7;CHAU;yes;decrease;5;no_change;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;CHAU;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;CHAU;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10;CHAU;yes;decrease;3;no_change;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;CHUM;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12;CHUM;yes;decrease;3;decrease;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
13;CHUM;yes;decrease;3;decrease;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
14;CHUM;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
15;CHUM;yes;increase;2;decrease;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
16;CHUM;yes;decrease;2;decrease;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
17;CHUM;yes;decrease;2;decrease;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
18;CHUM;yes;decrease;2;decrease;1;NA;1;NA;NA;NA;NA;NA;NA;1;NA
19;CHUM;yes;decrease;3;decrease;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
20;CHUM;yes;decrease;2;decrease;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
21;GADI;yes;decrease;2;decrease;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
22;GADI;yes;decrease;3;no_change;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
23;GADI;yes;decrease;2;decrease;1;NA;1;NA;NA;NA;NA;NA;NA;1;NA
24;GADI;yes;decrease;3;decrease;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
25;GADI;yes;decrease;4;decrease;1;NA;NA;NA;NA;NA;NA;NA;1;NA;NA
26;GADI;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
27;GADI;yes;decrease;4;decrease;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
28;GADI;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
29;GADI;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
30;GADI;yes;increase;5;decrease;1;NA;NA;NA;NA;NA;NA;NA;1;NA;NA
31;GADI;yes;increase;2;no_change;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
32;GADI;yes;decrease;5;decrease;1;NA;NA;NA;NA;NA;NA;NA;1;1;NA
