number;study_village;altitude;beekeeping_years;beehive_change;2022;2021;2019;2017;2012;2009
1;CHAU;2567;10;decrease;2;2;1;1;2;NA
2;CHAU;2719;12;decrease;1;2;5;8;11;13
3;CHAU;2709;30;decrease;1;2;5;6;NA;NA
4;CHAU;2710;30;decrease;1;1;1;7;25;18
5;CHAU;2593;4;decrease;1;2;1;NA;NA;NA
6;CHAU;2737;22;decrease;3;2;2;1;1;3
7;CHAU;2734;20;decrease;2;2;6;6;NA;NA
8;CHAU;2722;9;decrease;11;18;25;32;25;NA
9;CHAU;2721;3;increase;2;1;1;NA;NA;NA
10;CHAU;2721;20;increase;20;7;5;4;7;6
11;CHUM;2741;4;decrease;2;3;2;NA;NA;NA
12;CHUM;2741;25;increase;4;9;7;6;12;4
13;CHUM;2816;16;decrease;3;4;6;7;NA;NA
14;CHUM;2816;3;no_change;1;NA;NA;NA;NA;NA
15;CHUM;2844;12;increase;4;2;1;1;2;1
16;CHUM;2838;14;decrease;1;0;7;14;10;NA
17;CHUM;2832;8;no_change;1;NA;NA;NA;NA;NA
18;CHUM;2826;20;decrease;7;4;3;10;3;12
19;CHUM;2853;18;decrease;5;2;2;1;1;6
20;CHUM;2844;5;decrease;1;2;1;2;NA;NA
21;GADI;2692;4;decrease;7;5;2;NA;NA;NA
22;GADI;2683;7;decrease;4;13;19;18;NA;NA
23;GADI;2691;6;decrease;15;17;12;4;NA;NA
24;GADI;2727;3;increase;7;7;3;NA;NA;NA
25;GADI;2727;25;decrease;4;6;5;10;16;18
26;GADI;2725;6;decrease;3;4;1;1;NA;NA
27;GADI;2729;30;increase;15;16;12;9;5;3
28;GADI;2729;30;increase;35;12;9;10;5;7
29;GADI;2779;15;decrease;2;12;16;25;NA;NA
30;GADI;2748;20;decrease;4;2;10;1;3;2
31;GADI;2758;3;increase;5;7;1;NA;NA;NA
32;GADI;2755;16;decrease;5;6;3;10;16;12
33;GADI;2754;7;increase;8;5;3;4;NA;NA
34;GADI;2741;50;decrease;6;4;10;1;15;25
35;GADI;2741;25;decrease;1;1;0;4;9;5
36;LORP;2493;22;decrease;2;4;10;NA;NA;NA
37;LORP;2515;15;decrease;1;1;7;NA;NA;30
38;LORP;2504;6;decrease;4;5;NA;1;NA;NA
39;LORP;2531;4;increase;6;3;1;NA;NA;NA
40;LORP;2485;50;decrease;6;7;9;NA;18;NA
41;LORP;2485;3;decrease;1;1;1;NA;NA;NA
42;LORP;2485;18;decrease;1;1;2;4;8;18
43;LORP;2532;16;decrease;1;2;4;7;NA;NA
44;LORP;2503;20;decrease;2;2;7;1;8;1
45;LORP;2503;14;decrease;2;2;9;15;4;1
46;LORP;2503;9;decrease;1;2;3;4;10;NA
47;LUMA;2654;4;decrease;2;5;2;NA;NA;NA
48;LUMA;2624;30;decrease;5;25;15;10;7;1
49;LUMA;2624;5;decrease;2;8;9;1;NA;NA
50;LUMA;2546;2;decrease;1;3;NA;NA;NA;NA
51;LUMA;2601;9;increase;25;9;4;NA;NA;NA
52;LUMA;2561;4;increase;2;2;1;NA;NA;NA
53;LUMA;2564;8;decrease;4;2;1;1;NA;NA
54;LUMA;2583;4;decrease;4;5;4;NA;NA;NA
55;LUMA;2640;8;decrease;2;5;7;3;NA;NA
56;LUMA;2508;15;decrease;2;2;1;3;8;2
57;LUMA;2560;8;decrease;3;3;5;4;NA;NA
58;LUMA;2560;8;decrease;4;2;NA;NA;NA;NA
59;LUMA;2479;20;decrease;2;3;3;6;3;10
60;LUMA;2487;9;decrease;4;5;2;4;2;NA
61;LUMA;2605;30;decrease;2;3;5;15;15;20
62;PATM;2977;30;decrease;2;2;6;12;40;60
63;PATM;2957;17;decrease;2;2;2;4;1;8
64;PATM;2957;15;decrease;0;0;1;2;5;9
65;PATM;2516;12;decrease;1;1;15;12;NA;NA
66;PATM;2812;20;decrease;2;2;5;1;0;10
67;PATM;2834;15;decrease;2;2;4;9;5;NA
68;PATM;2960;4;decrease;2;2;4;NA;NA;NA
69;PATM;2946;26;decrease;9;9;35;20;7;20
70;PATM;3024;13;decrease;3;3;25;45;50;12
71;PATM;3024;40;decrease;8;8;4;2;12;21
72;PERE;2630;42;increase;60;30;15;6;6;5
73;PERE;2630;2;decrease;2;3;NA;NA;NA;NA
74;PERE;2671;12;decrease;3;7;32;45;47;45
75;PERE;2685;4;increase;7;5;4;NA;NA;NA
76;PERE;2662;21;no_change;5;NA;NA;NA;NA;NA
77;PERE;2662;21;decrease;2;4;30;1;8;NA
78;PERE;2662;13;decrease;8;7;7;5;NA;NA
79;PERE;2662;19;decrease;25;7;12;30;NA;NA
80;PERE;2662;10;decrease;4;2;1;4;10;NA
81;PERE;2670;21;decrease;3;2;3;0;7;NA
82;PERE;2670;5;decrease;1;7;5;2;NA;NA
83;PERE;2708;7;decrease;8;7;7;13;NA;NA
84;RINI;2748;10;decrease;1;2;7;6;2;NA
85;RINI;2703;41;increase;22;12;5;3;2;2
86;RINI;2660;21;decrease;1;4;7;4;2;6
87;RINI;2660;10;decrease;1;1;5;2;1;NA
88;RINI;2693;24;decrease;20;20;40;15;4;2
89;RINI;2577;21;increase;10;10;2;2;2;1
90;RINI;2577;40;decrease;10;10;16;20;22;2
91;RINI;2685;1;increase;2;2;NA;NA;NA;NA
92;RINI;2308;15;decrease;1;1;10;3;6;1
93;RINI;2662;20;decrease;7;7;18;22;30;5
94;RINI;2686;22;increase;13;13;7;10;30;5
95;RINI;2654;40;decrease;2;2;13;15;7;5
96;RINI;2619;25;decrease;2;2;7;15;20;2
97;RINI;2639;25;decrease;4;4;12;12;13;1
98;TIRK;2660;60;decrease;4;4;10;NA;NA;NA
99;TIRK;2629;21;decrease;11;12;7;12;10;2
100;TIRK;2629;17;decrease;1;2;3;3;NA;1
101;TIRK;2628;9;decrease;1;2;4;3;4;NA
102;TIRK;2641;6;no_change;1;NA;NA;NA;NA;NA
103;TIRK;2607;2;increase;4;NA;NA;NA;NA;NA
104;TIRK;2582;32;decrease;3;7;9;NA;NA;NA
105;TIRK;2601;20;decrease;3;5;4;NA;NA;NA
106;TIRK;2654;10;decrease;2;9;5;3;1;NA
107;TIRK;2654;40;decrease;0;3;13;NA;NA;NA
108;URTH;2411;13;decrease;0;NA;8;2;1;NA
109;URTH;2411;19;decrease;9;9;16;10;6;13
110;URTH;2411;7;increase;8;8;3;1;NA;NA
111;URTH;2417;30;decrease;3;3;3;5;8;20
112;URTH;2469;12;decrease;6;6;12;35;12;95
113;URTH;2444;3;no_change;2;2;NA;NA;NA;NA
114;URTH;2444;2;decrease;3;3;NA;NA;NA;NA
115;URTH;2341;16;decrease;2;2;8;13;16;1
116;URTH;2390;5;decrease;7;7;48;3;NA;NA
