number,study_village,honey_yield_change,honey_change_years,2021,2019,2017,2012,2009
1,CHAU,decrease,4,1.5,2,2.5,1.5,NA
2,CHAU,decrease,9,0,1.8,1,0.81,0.84
3,CHAU,decrease,9,0,1.2,2.5,NA,NA
4,CHAU,decrease,8,0,0.5,1.28,1.4,1.38
5,CHAU,decrease,2,0,1.5,NA,NA,NA
6,CHAU,decrease,3,0,3.85,0.77,3.85,7.7
7,CHAU,decrease,6,0,13.62,15.89,NA,NA
8,CHAU,decrease,3,0.7521,0.616,2.0559,1.232,NA
9,CHAU,no_change,NA,0,NA,NA,NA,NA
10,CHAU,decrease,4,0.1526,0.77,0.77,0.6545,1.54
11,CHUM,increase,2,3.405,1.135,NA,NA,NA
12,CHUM,decrease,5,0.454,0.227,0.681,0.7491,2.8375
13,CHUM,decrease,2,2.725,1.232,2.541,NA,NA
14,CHUM,no_change,NA,1.09,NA,NA,NA,NA
15,CHUM,decrease,2,1.5209,0,2.27,3.405,NA
16,CHUM,decrease,4,NA,2.7566,3.2956,1.925,NA
17,CHUM,increase,2,7,4,7,NA,NA
18,CHUM,decrease,2,0,2.67,2.5,NA,NA
19,CHUM,decrease,3,2.27,0.454,9.08,6.81,7.945
20,CHUM,decrease,3,0,1,2.5,NA,NA
21,GADI,decrease,4,0.4,6,NA,NA,NA
22,GADI,decrease,2,0.92105,1.925,NA,NA,NA
23,GADI,decrease,2,0.8611,2.695,NA,NA,NA
24,GADI,decrease,2,0.1526,7.7,NA,NA,NA
25,GADI,decrease,4,0,3.85,4.235,NA,5.005
26,GADI,decrease,2,0,4.54,9.08,NA,NA
27,GADI,decrease,2,1.3625,2.8875,6.93,NA,NA
28,GADI,decrease,3,5,3.8,6,NA,NA
29,GADI,decrease,6,0,2.8375,0,NA,NA
30,GADI,decrease,4,11.35,2.27,4.54,1.816,4.54
31,GADI,decrease,2,0,1.54,NA,NA,NA
32,GADI,decrease,3,0,9.08,1.362,8.626,4.086
33,GADI,decrease,2,1.09,7.7,3.85,NA,NA
34,GADI,decrease,4,2.27,1.362,11.35,1.135,2.27
35,GADI,decrease,6,0,NA,1.7025,1.7706,16.344
36,LORP,decrease,8,1.3625,4.62,6.16,NA,NA
37,LORP,decrease,6,0,NA,NA,NA,NA
38,LORP,decrease,2,0,NA,9.08,NA,NA
39,LORP,increase,3,3.27,1.54,NA,NA,NA
40,LORP,decrease,5,1.09,0.847,NA,1.694,NA
41,LORP,decrease,2,0,3,NA,NA,NA
42,LORP,decrease,4,0,2.5,3,4,7
43,LORP,decrease,4,0,4,4,NA,NA
44,LORP,decrease,NA,0.545,NA,NA,NA,NA
45,LORP,decrease,5,1.3625,2,2.5,1.5,NA
46,LORP,decrease,3,5.45,1.8,1,0.81,0.84
47,LUMA,decrease,2,2.398,3.33,NA,NA,NA
48,LUMA,decrease,4,0.654,6,NA,NA,NA
