study_village;district;1995;1996;1997
chaura;chum_chaura;NA;NA;NA
chaura;chum_chaur;0;0;0
chum;chum_chaur;6;10;NA
mohore;chum_chaur;22.7;4.54;6.81
kuri;gothi_chaur;0;2.27;0
gothi_gaun;gothi_chaur;6.81;15.89;NA
gargang_kot;gargang_kot;7;4;NA
ghodesim;patmara;0;2;NA
ghodesim;patmara;15;8;NA
urthu;patmara;0;0;1
patmara;patmara;NA;1;NA
patmara;patmara;17;3;1
patrasi;patrasi;NA;NA;NA
patrasi;patrasi;12;10;NA
patrasi;patrasi;NA;1;NA
patrasi;patrasi;0;0;0
patrasi;patrasi;1;1;1
gothi_gaun;gothichaur;NA;30;0
gothi_gaun;gothichaur;4;0;0
gadigaun;gothichaur;45;10;NA
murulli;gothichaur;NA;NA;NA
murulli;gothichaur;1;3;NA
muni;gothichaur;20;20;NA
p_gadigaun;gothichaur;20;16;NA
p_gadigaun;gothichaur;NA;2;NA
Lorpa;dillichaur;9;NA;NA
Lorpa;dillichaur;5;NA;NA
lamri;dillichaur;NA;NA;0
lamri;dillichaur;1;2;NA
tirkhu;dillichaur;NA;1;NA
tirkhu;dillichaur;4;3;NA
luma;dillichaur;NA;4;NA
luma;dillichaur;4;NA;1
chaur;chaum_chaur;NA;NA;NA
mahari;chaum_chaur;8;NA;NA
chaur;chaum_chaur;NA;2;NA
pere;patrasi;NA;NA;NA
talphi;patrasi;1;1;1
s.gadigaun;patrasi;NA;NA;NA
s.gadigaun;patrasi;NA;1;NA
talphi;patrasi;18;5;NA
talphi;patrasi;13;10;NA
mahat;mahat;3;3;3
raka;tatopani;2;4;NA
rini;patmara;NA;1;NA
patmara;patmara;15;9;NA
patmara;patmara;0;5;3
urthu;patmara;3;17;0
urthu;patmara;6;0;1.5
mohore;chum_chaur;2;5;NA
mohore;chum_chaur;2;2;NA
huri;chum_chaur;4;NA;NA
chum;chum_chaur;4;5;NA
chaura;chum_chaur;0;0;0
chaura;chum_chaur;3;1;NA
luma;dillichaur;5;6;NA
luma;dillichaur;3;1;0
luma;dillichaur;16;1;NA
gadigaun;patrasi;0;1;1
pere;patrasi;NA;1;NA
pere;patrasi;0;0;0
tlphi;patrasi;1;5;NA
murulli;gothichaur;0;4;NA
murulli;gothichaur;0;2;NA
murulli;gothichaur;0;4;NA
chatra;gothichaur;6;1;NA
kudi;gothichaur;0;1;0
gadigaun;gothichaur;1;3;NA
gothichaur;gothichaur;40;NA;NA
muni;gothichaur;NA;1;NA
tirkhu;dillichaur;6;6;2
tirkhu;dillichaur;1;7;NA
dillichaur;dillichaur;7;16;NA
lamri;dillichaur;70;0;NA
jmna;dillichaur;1;0;0.5
Lorpa;dillichaur;NA;NA;NA
kumri;depalgaun;10;NA;NA
depalgaun;depalgaun;NA;NA;NA
garjangakot;garjangakot;3;30;NA
tlichaur;chandan_natha;0;0;0
pokhari;ghedemahadew;1;2;NA
ghodesim;ghedemahadew;9;9;0
sudi;ghedemahadew;25;NA;NA
pokhari;ghedemahadew;8;6;NA
