number;study_village;livelihood_affected;loss_of_income;loss_for_own_consumption;loss_beewax;decrease_crop_quality;decrease_in_crop_yield;other;not_affected_other_income;not_affected_sufficient_beehives ;not_affected_sufficient_beehives ;not_affected_pollinator-dependent_crops;not_affected_other_farming;not_affected_never_benefits_beekeeping;not_affected_other;livelihood.not_affected_other_reasons
1;CHAU;yes;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;CHAU;no;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
3;CHAU;yes;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;CHAU;no;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
5;CHAU;yes;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;CHAU;no;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
7;CHAU;no;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
8;CHAU;yes;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;CHAU;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10;CHAU;yes;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;CHUM;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12;CHUM;yes;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
13;CHUM;yes;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
14;CHUM;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
15;CHUM;no;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
16;CHUM;yes;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
