number;study_village;honey_yield_change;less_flowers;bee_disease;herbicides;insecticides;changing_climate;overgrazing;changes in flowering_time;more_pine_martens;poor_beehive_managment;more_hornets;economic_cost;other;dont_know
1;CHAU;decrease;1;NA;NA;1;1;NA;NA;NA;NA;1;NA;NA;NA
2;CHAU;decrease;1;1;NA;1;1;1;NA;NA;NA;NA;NA;NA;NA
3;CHAU;decrease;1;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA
4;CHAU;decrease;1;1;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA
5;CHAU;decrease;1;1;NA;1;1;1;NA;NA;NA;NA;NA;NA;NA
6;CHAU;decrease;NA;NA;NA;1;1;1;NA;NA;NA;1;NA;NA;NA
7;CHAU;decrease;NA;NA;NA;1;NA;NA;NA;NA;1;NA;NA;NA;1
8;CHAU;decrease;1;NA;NA;1;1;NA;NA;NA;NA;1;NA;1;NA
9;CHAU;no_change;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10;CHAU;decrease;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;CHUM;increase;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12;CHUM;decrease;1;1;NA;NA;1;NA;NA;NA;NA;1;NA;NA;NA
13;CHUM;decrease;1;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
14;CHUM;no_change;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
15;CHUM;decrease;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
16;CHUM;decrease;1;NA;NA;1;1;1;NA;NA;NA;NA;NA;NA;NA
17;CHUM;increase;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
18;CHUM;decrease;1;1;NA;1;1;1;NA;NA;NA;NA;NA;NA;NA
19;CHUM;decrease;1;1;NA;1;1;NA;NA;NA;NA;1;NA;NA;NA
20;CHUM;decrease;1;NA;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA
21;GADI;decrease;1;1;NA;1;1;1;NA;NA;1;NA;NA;1;NA
22;GADI;decrease;1;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA
23;GADI;decrease;1;1;NA;1;NA;NA;NA;NA;NA;NA;NA;1;NA
24;GADI;decrease;1;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
25;GADI;decrease;1;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
26;GADI;decrease;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
27;GADI;decrease;1;1;NA;NA;1;NA;NA;NA;1;1;NA;NA;NA
28;GADI;decrease;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
29;GADI;decrease;NA;1;NA;1;1;NA;NA;NA;NA;NA;NA;1;NA
30;GADI;decrease;NA;1;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA
31;GADI;decrease;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
32;GADI;decrease;1;1;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA
33;GADI;decrease;1;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
34;GADI;decrease;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
35;GADI;decrease;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;1;NA
36;LORP;decrease;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
37;LORP;decrease;1;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA
38;LORP;decrease;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA
39;LORP;increase;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
40;LORP;decrease;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA
41;LORP;decrease;1;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
42;LORP;decrease;1;1;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA
43;LORP;decrease;1;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
44;LORP;decrease;1;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA
45;LORP;decrease;1;1;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA
46;LORP;decrease;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
47;LUMA;decrease;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA
48;LUMA;decrease;NA;1;NA;1;1;NA;NA;1;NA;NA;NA;NA;NA
49;LUMA;decrease;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1
50;LUMA;dont_know;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
51;LUMA;increase;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
52;LUMA;decrease;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
53;LUMA;increase;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
54;LUMA;decrease;NA;NA;NA;NA;1;NA;NA;1;NA;NA;NA;NA;NA
55;LUMA;decrease;1;NA;NA;NA;1;NA;NA;NA;NA;1;NA;NA;NA
56;LUMA;decrease;1;NA;NA;1;1;NA;NA;NA;NA;1;NA;NA;NA
57;LUMA;decrease;1;NA;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA
58;LUMA;no_change;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
59;LUMA;no_change;1;NA;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA
60;LUMA;increase;1;NA;NA;1;1;NA;NA;NA;1;1;NA;NA;NA
61;LUMA;decrease;1;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA
62;PATM;decrease;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;1;NA
63;PATM;decrease;1;1;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
64;PATM;dont_know;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
65;PATM;decrease;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
